user_registration_id,payment_detail_id,plan_id,start_date,end_date,start_date_key,end_date_key
71,204,3,2024-12-05,,20241205,
85,205,3,2024-09-09,,20240909,
87,206,3,2024-10-25,,20241025,
101,207,3,2024-10-19,,20241019,
109,208,3,2024-09-17,,20240917,
146,209,3,2024-11-19,,20241119,
149,210,3,2024-12-26,,20241226,
150,211,3,2024-07-16,,20240716,
156,212,3,2024-09-26,,20240926,
169,213,3,2024-07-20,,20240720,
182,214,3,2024-12-14,,20241214,
194,215,3,2024-09-29,,20240929,
